정류소명,no
한라.이림아파트,638
그린공원앞,96
까치마을.건영빌라.2001아울렛,119
한양아파트,16
경기도경제과학진흥원,346
경남아너스빌,42
모곡동,2
남양중고교입구,23
세류사거리,594
자이.우남퍼스트빌,237
동탄역(서측),735
동양파라곤,788
호계아크로리버,89
축산물유통센터.수원아이파크4단지,124
동오사거리,129
구운동주민센터.서수원도서관,6
수촌3리,15
동탄초교,132
청록웨딩부페.군포사거리,116
정남도서관,48
UN참전기념공원앞,42
권선사거리.SK뷰아파트,268
상미마을.신갈오거리,464
영일중학교.수원출입국사무소,321
동안구청.달안초등학교,388
당동우체국,33
상현중학교,106
정자청소년수련관.분당클리닉,79
광교역.광교대학로,241
KT동수원지사,1169
신곡동,825
화성초교,127
성원아파트.이지더원,481
죽전초중고교.대현초교,544
수지이스트파크.덕윤프라자,207
파크타운.롯데아파트,669
고림동.삼정그린뷰,2
이마트,286
삼화리,76
안산시흥교회앞,2
안산역(도로변),246
연무동,844
팔달문,1342
신풍초등학교.자연앤자이,353
세류2동,740
칠보쌍용아파트,118
호반베르디움3차,453
황골쌍용아파트,370
세교근린공원,20
